stnreg_stnid	Stnreg	Platform type
SOCX49	OSKARSGRUNDET NE	BTL
KANI05	OSTINDIEBÅDARAN	BTL
SKEX25	P1	BTL
SKEX26	P1B	BTL
SKEX23	P2	BTL
GBBP01	P20 / INRE FJÄRDEN	BTL
GBBP03	P250 / VARGÖDRAGET	BTL
SKEX24	P2B	BTL
SKEX27	P3	BTL
GBBP05	P3 / NÖRDFJÄRDEN	BTL
GBBP04	P300 / BAGGEN	BTL
SKEX28	P4	BTL
GBBP02	P70 / YTTRE FJÄRDEN	BTL
BPSG71	PL-P1	BTL
BPSA38	PL-P38	BTL
BPSE70	PL-P63	BTL
SKNX11	R43	BTL
SKNX20	R45	BTL
SKEX29	R53	BTL
FIBO63	RAMSÖN W	BTL
BPWK01	REF M1V1	BTL
BPWK13	REF O3-V	BTL
BPWK05	REF V2	BTL
BPWM05	REF V2V	BTL
BPWK16	REF V3	BTL
FIBK41	RIKSGRÄNSEN (NR22)	BTL
KANI91	ROSENLUND	BTL
GBBX40	RR1	BTL
GBBX39	RR3	BTL
GBBX38	RR4	BTL
GBBX37	RR5	BTL
GBBX36	RR6	BTL
GBBX35	RR7	BTL
GBBX34	RR8	BTL
GBBF01	RÅNEÅ-1	BTL
GBBF02	RÅNEÅ-2	BTL
GBBF03	RÅNEÅ-3	BTL
KANI10	RÄVUNGARNA	BTL
SONX37	S HELSINGBORG	BTL
FIBK18	S KOSTERFJORD	BTL
SKNX31	S LARVIK	BTL
KANI80	S LÅNGÖ	BTL
FIBX19	S SYSTER	BTL
BPNS01	S1 / BAGGHUSFJ	BTL
BPWK45	S10 / ÖSTRA STÄRKFABRIK	BTL
BPNS02	S100 / ERSTVIKEN	BTL
BPNS03	S103 / VISSVASSFJÄRD	BTL
BPNS04	S104 / ÄLLMORAFJÄRDEN	BTL
BPNS05	S108 / HORSFJÄRDEN	BTL
BPNS06	S110 / S MYSINGEN	BTL
BPNS49	S110B / S MYSINGEN	BTL
BPNS07	S118 / DRAGFJÄRDEN	BTL
BPNS08	S120 / GRÄNÖFJÄRDEN	BTL
BPNS09	S121 / N STYRMANNEN	BTL
BPNS10	S123 / N FÅLLNÄSVIKEN	BTL
BPNS11	S125 / DYVIK	BTL
BPNS12	S125B / EXT SVARTFJ	BTL
BPNS13	S125C / EXT TOTTNÄS	BTL
BPNS14	S127 / ULVSUNDET	BTL
BPNH07	S128 / S HALLSFJ (H7)	BTL
BPNS15	S13 / NORRTÄLJEFJÄRDEN	BTL
BPNS16	S130 / IGELSTAVIKEN	BTL
BPNH09	S131 / KAGGFJÄRDEN (H9)	BTL
BPNS17	S132	BTL
BPNS18	S15 / V TJOCKÖ	BTL
BPNS19	S17 / S KAPELLSKÄR	BTL
BPNS51	S17B / FARLEDEN SÖDERARM	BTL
BPNS20	S19 / S EDSVIKEN	BTL
BPNS21	S19C / BRUNNSVIKEN	BTL
BPWM09	S1-VMS	BTL
GBSY20	S2	BTL
BPNS22	S21 / O STOMMARÖ	BTL
BPNS52	S24 / SPILLERSBODA	BTL
BPNS23	S27 / SV SVARTÖ	BTL
BPWM08	S2-VMS	BTL
KAES83	S-3	BTL
BPNS24	S30 / BLIDÖSUND	BTL
BPNS25	S32 / V YXLAN	BTL
BPNS26	S36 / VETTERSHAGAFJ	BTL
BPNS27	S38 / SIARÖ	BTL
BPNS28	S38B / SV LERVIKSÖN	BTL
KAES84	S-4	BTL
BPNS29	S45 / N SVARTÖ	BTL
KAES85	S-5	BTL
BPNS30	S50 / S MORSKEN	BTL
BPNS31	S56 / S RÖDLÖGA	BTL
BPNS32	S5B / HAVSSVALGET	BTL
GBSY21	S6	BTL
BPNS33	S6 / S ARHOLMA	BTL
BPNS34	S68 / S VAXHOLMSFJ	BTL
BPNS35	S8 / NORRTÄLJEVIKEN	BTL
BPNS36	S82 / VINDÖ STRÖM	BTL
GBSY22	S9	BTL
BPNS37	S90B / HANSTENSFJÄRDEN	BTL
BPNS38	S94 / TRANARÖFJ	BTL
BPNS39	S95 / ÅTERLÖGAFJ	BTL
BPNS40	S96B / EXT KOLSTRÖMM	BTL
BPNS41	S97 / NÄMDÖFJÄRDEN	BTL
BPNS42	S99 / INGARÖFJÄRDEN	BTL
FIBG22	SALTKÄLLEFJORDEN	BTL
FIBX31	SALTÖFJORD	BTL
KANI93	SE ASPERÖ	BTL
BPWX46	SEGERSTAD-I	BTL
BPWX47	SEGERSTAD-II	BTL
BPWX48	SEGERSTAD-III	BTL
KAES86	SI-1	BTL
KAES87	SI-2	BTL
GBAX80	SINGÖ	BTL
BPWM07	SJÖÄNGSVIKEN (LOFTA HAM)	BTL
GBSY01	SK 1	BTL
GBSY02	SK 2	BTL
GBSY03	SK 3	BTL
GBSY04	SK 4	BTL
GBSY05	SK 5	BTL
KANI02	SKALKORGARNA	BTL
GBBX89	SKELLEFTEÅ	BTL
GBBU01	SKELLEFTEÄLVEN URSVIK	BTL
GBSC03	SKUTSKÄRSVERKEN / B3	BTL
KAES81	SKÄLDERVIKEN-1	BTL
KAES82	SKÄLDERVIKEN-2	BTL
KAEX83	SKÄLDERVIKEN-3	BTL
KAEX84	SKÄLDERVIKEN-4	BTL
KAEX85	SKÄLDERVIKEN-5	BTL
KAEX86	SKÄLDERVIKEN-6	BTL
KAEX87	SKÄLDERVIKEN-7	BTL
BPEX54	SLITE	BTL
FIBG27	SLÄGGÖ	BTL
